Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank
JTV1 [Homo sapiens]	Protein	JTV1	14	1	1.118724348
golgi autoantigen, golgin subfamily a, 4 [Homo sapiens]	Protein	GOLGA4	4	1	1.145581295
CKLF-like MARVEL transmembrane domain containing 6 [Homo sapiens]	Protein	CMTM6	2	2	0.716584202
triple functional domain (PTPRF interacting) [Homo sapiens]	Protein	TRIO	6	1	1.082301256
translocase of inner mitochondrial membrane 9 homolog [Homo sapiens]	Protein	TIMM9	4	0	1.072066936
polo-like kinase 2 [Homo sapiens]	Protein	PLK2	6	2	1.168118726
egl nine homolog 1 [Homo sapiens]	Protein	EGLN1	3	3	1.33105294
H1 histone family, member 4 [Homo sapiens]	Protein	HIST1H1E	3	2	0.850755918
galactosidase, beta 1 [Homo sapiens]	Protein	GLB1	19	1	0.823131967
scinderin [Homo sapiens]	Protein	SCIN	5	1	0.527935762
zinc finger, MYND domain containing 11 isoform a [Homo sapiens]	Protein	ZMYND11	7	1	1.23326409
dishevelled 2 [Homo sapiens]	Protein	DVL2	45	1	0.970421819
hypothetical protein LOC23170 [Homo sapiens]	Protein	TTLL12	3	1	0.889244296
tubulin tyrosine ligase-like family, member 12 [Homo sapiens]	Protein	TTLL12	3	1	0.889244296
calpain 2, large subunit [Homo sapiens]	Protein	CAPN2	9	3	1.015708377
calcium/calmodulin-dependent protein kinase IIA isoform 1 [Homo sapiens]	Protein	CAMK2A	17	1	1.824458249
Rab coupling protein isoform 2 [Homo sapiens]	Protein	RAB11FIP1	4	1	0.690345393
MOB1, Mps One Binder kinase activator-like 2B [Homo sapiens]	Protein	MOBKL2B	3	0	0.87858128
serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 4 [Homo sapiens]	Protein	SERPINB4	4	0	0.615454551
Smad nuclear interacting protein [Homo sapiens]	Protein	SNIP1	18	0	0.955296267
soc-2 suppressor of clear homolog [Homo sapiens]	Protein	SHOC2	8	1	1.028779262
synaptojanin 2 binding protein [Homo sapiens]	Protein	SYNJ2BP	10	0	1.359743352
apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C [Homo sapiens]	Protein	APOBEC3C	2	0	0.703411302
S100 calcium binding protein A2 [Homo sapiens]	Protein	S100A2	5	0	1.1356812
pro-platelet basic protein precursor [Homo sapiens]	Protein	PPBP	15	3	0.729515494
taxilin [Homo sapiens]	Protein	TXLNA	6	0	1.14295216
ARP1 actin-related protein 1 homolog B, centractin beta [Homo sapiens]	Protein	ACTR1B	5	1	1.018342376
RB-associated KRAB repressor [Homo sapiens]	Protein	RBAK	2	1	1.029265039
CDNA FLJ14727 fis, clone NT2RP3001730, highly similar to SEPTIN 2 HOMOLOG.	Protein		2	0	0
peroxisomal biogenesis factor 6 [Homo sapiens]	Protein	PEX6	4	1	0.977239303
calcium/calmodulin-dependent serine protein kinase (MAGUK family) [Homo sapiens]	Protein	CASK	11	2	0.856772716
thyroid hormone receptor interactor 13 [Homo sapiens]	Protein	TRIP13	49	0	0.67707204
Meis1 homolog [Homo sapiens]	Protein	MEIS1	9	1	1.037673283
Myosin-reactive immunoglobulin heavy chain variable region	Protein		1	0	0
ATP-binding cassette, sub-family B, member 7 [Homo sapiens]	Protein	ABCB7	3	0	1.063843558
activated leukocyte cell adhesion molecule [Homo sapiens]	Protein	ALCAM	5	2	0.796649519
histone deacetylase 5 isoform 3 [Homo sapiens]	Protein	HDAC5	24	3	1.037813523
mannosyl-oligosaccharide glucosidase [Homo sapiens]	Protein	GCS1	5	1	0.909287664
Na+/K+ -ATPase beta 3 subunit [Homo sapiens]	Protein	ATP1B3	4	3	0.986979824
lymphotoxin-beta isoform a [Homo sapiens]	Protein	LTB	2	0	0.85784998
nudix-type motif 1 isoform p18 [Homo sapiens]	Protein	NUDT1	4	1	1.011644045
transporter 1, ATP-binding cassette, sub-family B [Homo sapiens]	Protein	TAP1	10	0	0.809425829
phytanoyl-CoA 2-hydroxylase isoform b precursor [Homo sapiens]	Protein	PHYH	15	1	1.357735254
ring finger and WD repeat domain 2 isoform a [Homo sapiens]	Protein	RFWD2	9	0	1.025977648
DNA segment on chromosome X and Y (unique) 155 expressed sequence [Homo sapiens]	Protein	DXYS155E	6	0	0.930081787
ral guanine nucleotide dissociation stimulator [Homo sapiens]	Protein	RALGDS	15	2	0.925716629
synapse-associated protein 97 [Homo sapiens]	Protein	DLG1	44	1	0.948069132
arginine/serine-rich coiled-coil 1 [Homo sapiens]	Protein	RSRC1	10	1	0.795977111
slit homolog 2 [Homo sapiens]	Protein	SLIT2	6	0	1.317132369
sorcin isoform a [Homo sapiens]	Protein	SRI	11	1	0.951239955
pleckstrin homology-like domain, family A, member 3 [Homo sapiens]	Protein	PHLDA3	100	2	1.145228907
chromosome 21 open reading frame 7 [Homo sapiens]	Protein	C21orf7	4	2	1.582109823
hypothetical protein LOC79169 [Homo sapiens]	Protein	C1orf35	5	1	0.784906254
protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]	Protein	PPP2CA	30	3	1.057154544
molybdenum cofactor sulfurase [Homo sapiens]	Protein	MOCOS	3	1	0.850164384
Hypothetical protein.	Protein		5	0	0
chromosome condensation-related SMC-associated protein 1 [Homo sapiens]	Protein	CNAP1	2	1	0.685788343
lysophospholipase I [Homo sapiens]	Protein	LYPLA1	17	2	0.999276944
cardiac muscle alpha actin proprotein [Homo sapiens]	Protein	ACTC	36	0	1.38276692
karyopherin alpha 4 [Homo sapiens]	Protein	KPNA4	7	2	1.188787337
death-associated protein 3 [Homo sapiens]	Protein	DAP3	14	1	1.066227067
zinc finger protein 496 [Homo sapiens]	Protein	ZNF496	4	1	0.597544063
drebrin-like isoform b [Homo sapiens]	Protein	DBNL	12	1	0.509710305
cofilin 1 (non-muscle) [Homo sapiens]	Protein	CFL1	20	2	0.98012886
chromsome 3 open reading frame 28 [Homo sapiens]	Protein	C3orf28	2	2	1.090831193
growth and transformation-dependent protein [Homo sapiens]	Protein	C3orf28	2	2	1.090831193
cell cycle progression 2 protein isoform 2 [Homo sapiens]	Protein	TBRG4	6	0	0.981857076
amplified in osteosarcoma isoform 1 precursor [Homo sapiens]	Protein	OS9	6	3	1.036235281
microtubule-associated protein 1B isoform 1 [Homo sapiens]	Protein	MAP1B	10	1	1.506077795
regulatory factor X domain containing 1 [Homo sapiens]	Protein	RFXDC1	8	0	0.354462583
tubulin alpha 6 [Homo sapiens]	Protein	TUBA6	3	1	1.03289044
lymphotoxin alpha precursor [Homo sapiens]	Protein	LTA	3	1	0.787269079
intercellular adhesion molecule 4 isoform 3 precursor [Homo sapiens]	Protein	ICAM4	9	1	0.80167908
3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble) [Homo sapiens]	Protein	HMGCS1	5	0	0.997228136
lysyl hydroxylase precursor [Homo sapiens]	Protein	PLOD1	4	2	1.020613116
prolyl 4-hydroxylase, alpha I subunit isoform 1 precursor [Homo sapiens]	Protein	P4HA1	5	3	1.292042379
transglutaminase 2 isoform a [Homo sapiens]	Protein	TGM2	27	1	1.057383274
Nef-associated factor 1 [Homo sapiens]	Protein	TNIP1	7	0	1.120312006
DEAD box polypeptide 17 isoform p82 [Homo sapiens]	Protein	DDX17	9	2	1.072118639
CDP-diacylglycerol--inositol 3-phosphatidyltransferase isoform 1 [Homo sapiens]	Protein	CDIPT	5	1	0.974204629
plakophilin 2 isoform 2a [Homo sapiens]	Protein	PKP2	10	1	0.955286387
complement factor D preproprotein [Homo sapiens]	Protein	CFD	4	3	1.170274318
DJ-1 protein [Homo sapiens]	Protein	PARK7	3	2	1.067529455
sterol regulatory element-binding transcription factor 2 [Homo sapiens]	Protein	SREBF2	14	0	0.846562171
myotubularin related protein 4 [Homo sapiens]	Protein	MTMR4	2	1	0.766445978
protein phosphatase 1, regulatory subunit 10 [Homo sapiens]	Protein	PPP1R10	2	1	0.787795046
chloride intracellular channel 4 [Homo sapiens]	Protein	CLIC4	4	3	1.100087973
axonemal dynein heavy chain 7 [Homo sapiens]	Protein	DNAH7	2	0	0.865129649
aldehyde dehydrogenase 1B1 precursor [Homo sapiens]	Protein	ALDH1B1	24	1	1.41401789
plastin 1 [Homo sapiens]	Protein	PLS1	2	1	0.517451227
polycomb group ring finger 6 isoform a [Homo sapiens]	Protein	PCGF6	4	1	0.624584329
basic beta 1 syntrophin [Homo sapiens]	Protein	SNTB1	10	0	1.026082804
chaperonin containing TCP1, subunit 7 isoform b [Homo sapiens]	Protein	CCT7	11	1	1.062506369
sortilin 1 preproprotein [Homo sapiens]	Protein	SORT1	8	0	1.19233772
SH3-domain binding protein 5 (BTK-associated) isoform b [Homo sapiens]	Protein	SH3BP5	7	1	1.068035022
A-gamma globin [Homo sapiens]	Protein	HBG1	2	0	0.286035186
archain [Homo sapiens]	Protein	ARCN1	8	0	1.091720754
disabled homolog 2 [Homo sapiens]	Protein	DAB2	21	4	1.248750019
Apg3p [Homo sapiens]	Protein	ATG3	5	1	0.907103281
KIAA1712 [Homo sapiens]	Protein	KIAA1712	10	1	0.603694447
rhotekin isoform a [Homo sapiens]	Protein	RTKN	5	1	0.516979919
chromosome 9 open reading frame 36 [Homo sapiens]	Protein	C9orf36	2	0	0
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1 [Homo sapiens]	Protein	NDUFAF1	3	1	1.169184579
matrix-remodelling associated 5 [Homo sapiens]	Protein	MXRA5	3	2	1.531754868
adlican [Homo sapiens]	Protein	MXRA5	3	2	1.531754868
WD repeat domain 68 [Homo sapiens]	Protein	WDR68	5	1	0.940316585
WD-repeat protein [Homo sapiens]	Protein	WDR68	5	1	0.940316585
Np95-like ring finger protein isoform b [Homo sapiens]	Protein	UHRF2	4	1	0.631898704
zinc finger protein 567 [Homo sapiens]	Protein	ZNF567	2	0	0.379371282
hypothetical protein LOC23131 [Homo sapiens]	Protein	KIAA0553	2	2	1.019468263
runt-related transcription factor 2 isoform b [Homo sapiens]	Protein	RUNX2	3	2	0.852700429
ras homolog gene family, member E [Homo sapiens]	Protein	RND3	6	3	1.396902316
myocardin [Homo sapiens]	Protein	MYOCD	4	1	0.71134118
polymeric immunoglobulin receptor [Homo sapiens]	Protein	PIGR	5	1	0.624026254
translin-associated factor X [Homo sapiens]	Protein	TSNAX	8	1	1.187919853
tripartite motif-containing 56 [Homo sapiens]	Protein	TRIM56	2	0	0.601064804
TBP-associated factor RNA polymerase 1-like [Homo sapiens]	Protein	TAF1L	2	0	0.880013677
transcription factor-like 1 [Homo sapiens]	Protein	VPS72	25	1	0.939993852
dyskerin [Homo sapiens]	Protein	DKC1	6	1	0.990558649
GABA(A) receptor-associated protein [Homo sapiens]	Protein	GABARAP	24	1	1.064876173
transcription factor Dp-2 (E2F dimerization partner 2) [Homo sapiens]	Protein	TFDP2	7	1	1.117640094
ubiquitin specific protease 18 [Homo sapiens]	Protein	USP18	4	1	0.940448076
tumor protein D52-like 2 isoform f [Homo sapiens]	Protein	TPD52L2	3	0	0.830707423
protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched) isoform a [Homo sapiens]	Protein	PTPN5	6	1	0.687897764
retinoid X receptor, alpha [Homo sapiens]	Protein	RXRA	70	0	1.030261298
E2F transcription factor 7 [Homo sapiens]	Protein	E2F7	4	1	0.578188686
PNAS-20.	Protein		1	0	0
Huntingtin interacting protein K [Homo sapiens]	Protein	HYPK	3	1	0.807550762
protein phosphatase 4, regulatory subunit 1 [Homo sapiens]	Protein	PPP4R1	5	1	0.814342767
chromosome 20 open reading frame 11 [Homo sapiens]	Protein	C20orf11	2	0	0.896919158
myotubularin-related protein 9 [Homo sapiens]	Protein	MTMR9	9	1	1.038229795
DnaJ (Hsp40) homolog, subfamily C, member 1 [Homo sapiens]	Protein	DNAJC1	3	1	0.846057581
histidyl-tRNA synthetase [Homo sapiens]	Protein	HARS	10	1	0.966978378
megakaryoblastic leukemia 1 protein [Homo sapiens]	Protein	MKL1	6	2	0.841264546
activating transcription factor 4 [Homo sapiens]	Protein	ATF4	36	2	1.068281474
RAP1B, member of RAS oncogene family [Homo sapiens]	Protein	RAP1B	3	1	1.017237776
opioid growth factor receptor [Homo sapiens]	Protein	OGFR	2	1	1.029516453
hydroxysteroid (17-beta) dehydrogenase 4 [Homo sapiens]	Protein	HSD17B4	20	2	1.091830446
acid phosphatase 6, lysophosphatidic [Homo sapiens]	Protein	ACP6	8	1	0.768414077
exocyst complex 84-kDa subunit [Homo sapiens]	Protein	EXOC8	19	1	0.710100074
guanine nucleotide binding protein-like 2 (nucleolar) [Homo sapiens]	Protein	GNL2	2	1	1.002831218
euchromatic histone methyltransferase 1 [Homo sapiens]	Protein	EHMT1	7	0	0.738175127
ataxin 1 [Homo sapiens]	Protein	ATXN1	43	2	1.21147687
potassium channel tetramerisation domain containing 5 [Homo sapiens]	Protein	KCTD5	6	1	0.759652715
ryanodine receptor 1 (skeletal) [Homo sapiens]	Protein	RYR1	10	2	2.23951393
wolframin [Homo sapiens]	Protein	WFS1	3	2	1.086544987
chromatin assembly factor 1 subunit B [Homo sapiens]	Protein	CHAF1B	26	2	1.221968277
C17orf40 [Homo sapiens]	Protein	C17orf40	6	2	1.025011327
UTP6, small subunit (SSU) processome component, homolog (yeast) [Homo sapiens]	Protein	C17orf40	6	2	1.025011327
tripartite motif protein TRIM29 isoform alpha [Homo sapiens]	Protein	TRIM29	22	1	0.927954998
period 2 isoform 2 [Homo sapiens]	Protein	PER2	7	1	1.20758662
actin related protein 2/3 complex, subunit 5-like [Homo sapiens]	Protein	ARPC5L	4	2	1.071947768
serine palmitoyltransferase, long chain base subunit 2 [Homo sapiens]	Protein	SPTLC2	6	0	0.76299491
nuclear receptor subfamily 1, group I, member 3 [Homo sapiens]	Protein	NR1I3	7	0	1.246046914
chromatin assembly factor 1, subunit A (p150) [Homo sapiens]	Protein	CHAF1A	29	0	0.925826308
5-azacytidine induced 2 [Homo sapiens]	Protein	AZI2	2	1	1.036717516
Rho guanine nucleotide exchange factor (GEF) 11 isoform 1 [Homo sapiens]	Protein	ARHGEF11	7	1	0.969004696
RAN binding protein 10 [Homo sapiens]	Protein	RANBP10	5	2	0.948253211
elaC homolog 2 [Homo sapiens]	Protein	ELAC2	9	2	1.051398146
delta isoform of regulatory subunit B56, protein phosphatase 2A isoform 1 [Homo sapiens]	Protein	PPP2R5D	6	1	0.985249904
6-pyruvoyltetrahydropterin synthase [Homo sapiens]	Protein	PTS	6	1	1.188792616
serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1 [Homo sapiens]	Protein	SERPINA1	12	2	0.636793288
zinc finger protein 434 [Homo sapiens]	Protein	ZNF434	6	0	0.798993733
A-kinase anchor protein 5 [Homo sapiens]	Protein	AKAP5	13	0	0.888307931
tumor necrosis factor receptor superfamily, member 8 isoform 1 precursor [Homo sapiens]	Protein	TNFRSF8	9	0	0.775609669
large conductance calcium-activated potassium channel subfamily M alpha member 1 isoform a [Homo sapiens]	Protein	KCNMA1	3	1	1.616140996
breast cancer metastasis suppressor 1 isoform 2 [Homo sapiens]	Protein	BRMS1	13	1	0.802275102
myosin, light polypeptide 6B [Homo sapiens]	Protein	MYL6B	2	0	1.247825829
myosin, light polypeptide 6B, alkali, smooth muscle and non-muscle [Homo sapiens]	Protein	MYL6B	2	0	1.247825829
sarcolemma associated protein [Homo sapiens]	Protein	SLMAP	2	0	0.956657035
M-phase phosphoprotein 1 [Homo sapiens]	Protein	MPHOSPH1	4	1	0.604980268
F-box and WD-40 domain protein 8 isoform 2 [Homo sapiens]	Protein	FBXW8	4	1	0.492385657
RP42 homolog [Homo sapiens]	Protein	DCUN1D1	5	0	1.112623162
DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae) [Homo sapiens]	Protein	DCUN1D1	5	0	1.112623162
hypothetical protein LOC149076 [Homo sapiens]	Protein	FLJ25476	2	1	1.114728798
WD repeat domain 76 [Homo sapiens]	Protein	WDR76	2	0	0.631471806
death effector filament-forming Ced-4-like apoptosis protein isoform 5 [Homo sapiens]	Protein	NALP1	9	2	0.693251772
squamous cell carcinoma antigen recognized by T cells 3 [Homo sapiens]	Protein	SART3	5	1	0.786793524
G protein pathway suppressor 1 isoform 2 [Homo sapiens]	Protein	GPS1	4	1	0.93387854
mucin 13, epithelial transmembrane [Homo sapiens]	Protein	MUC13	3	1	0.807744648
CDNA: FLJ21921 fis, clone HEP04058.	Protein		2	0	0
DNA (cytosine-5-)-methyltransferase 1 [Homo sapiens]	Protein	DNMT1	21	1	0.887389742
actin binding LIM protein family, member 3 [Homo sapiens]	Protein	ABLIM3	3	2	1.855810879
ADAM metallopeptidase domain 17 preproprotein [Homo sapiens]	Protein	ADAM17	14	2	1.016983156
platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29kDa [Homo sapiens]	Protein	PAFAH1B3	42	1	0.800469405
Lsm3 protein [Homo sapiens]	Protein	LSM3	22	2	1.126935307
BCL2/adenovirus E1B 19kD-interacting protein 3-like [Homo sapiens]	Protein	BNIP3L	14	1	1.004180077
LOC645737 [Homo sapiens]	Protein	LOC645737	2	0	0
pterin-4 alpha-carbinolamine dehydratase precursor [Homo sapiens]	Protein	PCBD1	16	1	1.186009703
T cell receptor alpha locus [Homo sapiens]	Protein	TRAC	2	0	0.392103205
T cell receptor alpha constant [Homo sapiens]	Protein	TRAC	2	0	0.392103205
CD1A antigen precursor [Homo sapiens]	Protein	CD1A	2	0	0.729380158
putative c-Myc-responsive isoform 1 [Homo sapiens]	Protein	C6orf108	4	1	0.789052339
argininosuccinate synthetase [Homo sapiens]	Protein	ASS	9	2	1.290598753
down-regulated in metastasis [Homo sapiens]	Protein	UTP20	3	1	0.951869061
UTP20, small subunit (SSU) processome component, homolog (yeast) [Homo sapiens]	Protein	UTP20	3	1	0.951869061
ceroid-lipofuscinosis, neuronal 5 [Homo sapiens]	Protein	CLN5	2	2	0.80037819
Rough Deal homolog, centromere/kinetochore protein [Homo sapiens]	Protein	KNTC1	4	1	0.568214373
high-mobility group box 2 [Homo sapiens]	Protein	HMGB2	21	2	0.960223047
S100 calcium binding protein A16 [Homo sapiens]	Protein	S100A16	2	2	0.681822358
1A6/DRIM (down-regulated in metastasis) interacting protein [Homo sapiens]	Protein	KIAA0649	3	0	1.037007953
MLK-related kinase isoform 1 [Homo sapiens]	Protein	ZAK	5	2	1.270624871
tripeptidyl peptidase II [Homo sapiens]	Protein	TPP2	4	0	1.061805949
microtubule-associated proteins 1A/1B light chain 3 [Homo sapiens]	Protein	MAP1LC3B	10	2	1.093477364
regulatory factor X1 [Homo sapiens]	Protein	RFX1	20	1	0.752343969
major histocompatibility complex, class II, DR alpha precursor [Homo sapiens]	Protein	HLA-DRA	14	1	0.953889427
similar to angiomotin [Homo sapiens]	Protein	LOC643314	2	0	0.943696754
chromodomain helicase DNA binding protein 3 isoform 3 [Homo sapiens]	Protein	CHD3	66	1	0.830197874
Ts translation elongation factor, mitochondrial [Homo sapiens]	Protein	TSFM	2	0	1.234595013
synaptosomal-associated protein 23 isoform SNAP23A [Homo sapiens]	Protein	SNAP23	29	0	1.080085451
family with sequence similarity 98, member B [Homo sapiens]	Protein	FAM98B	4	1	0.454768959
hypothetical protein LOC283742 [Homo sapiens]	Protein	FAM98B	4	1	0.454768959
Williams Beuren syndrome chromosome region 22 protein [Homo sapiens]	Protein	WBSCR22	2	2	1.095027245
homeodomain interacting protein kinase 2 [Homo sapiens]	Protein	HIPK2	18	1	1.115396598
Heat shock regulated-1.	Protein		1	0	0
phosphatidic acid phosphatase type 2B [Homo sapiens]	Protein	PPAP2B	7	1	1.384653484
HIV TAT specific factor 1 [Homo sapiens]	Protein	HTATSF1	4	3	1.147039468
Plectin 2.	Protein		1	0	0
nuclear distribution gene E homolog 1 [Homo sapiens]	Protein	NDE1	4	0	0.653615551
hypothetical protein LOC79171 [Homo sapiens]	Protein	MGC10433	4	1	1.029666446
intersectin 1 isoform ITSN-s [Homo sapiens]	Protein	ITSN1	20	1	1.178653558
suppressor of defective silencing 3 homolog (S. cerevisiae) [Homo sapiens]	Protein	SUDS3	3	0	0.700709891
suppressor of defective silencing 3 [Homo sapiens]	Protein	SUDS3	3	0	0.700709891
cytoskeleton-associated protein 4 [Homo sapiens]	Protein	CKAP4	5	2	0.820077615
sex determining region Y [Homo sapiens]	Protein	SRY	3	0	0.89084139
apoptosis antagonizing transcription factor [Homo sapiens]	Protein	AATF	18	1	0.828314704
Ras-related GTP binding B short isoform [Homo sapiens]	Protein	RRAGB	3	0	1.162701061
Rho guanine exchange factor 16 [Homo sapiens]	Protein	ARHGEF16	2	1	0.718976784
CCCTC-binding factor [Homo sapiens]	Protein	CTCF	4	1	0.959343124
prefoldin subunit 4 [Homo sapiens]	Protein	PFDN4	9	2	0.959726999
protein kinase C, iota [Homo sapiens]	Protein	PRKCI	26	1	1.115173149
kinesin family member 18A [Homo sapiens]	Protein	KIF18A	2	0	0.641971541
A-kinase anchor protein 11 isoform 1 [Homo sapiens]	Protein	AKAP11	7	2	0.779537554
hemopexin [Homo sapiens]	Protein	HPX	2	1	0.934909632
diacylglycerol kinase, zeta 104kDa isoform 2 [Homo sapiens]	Protein	DGKZ	16	3	0.924620762
hypothetical protein LOC55671 isoform 1 [Homo sapiens]	Protein	KIAA2010	2	1	0.909401404
crooked neck-like 1 protein [Homo sapiens]	Protein	CRNKL1	2	2	1.06872316
mitochondrial ribosomal protein L41 [Homo sapiens]	Protein	MRPL41	2	0	1.208057245
roundabout, axon guidance receptor, homolog 3 [Homo sapiens]	Protein	ROBO3	2	1	1.091364898
follicle stimulating hormone receptor isoform 1 precursor [Homo sapiens]	Protein	FSHR	7	1	0.976141077
Similar to RIKEN cDNA 2510008H07 gene	Protein		1	0	0
TNF receptor-associated protein 1 [Homo sapiens]	Protein	TRAP1	8	0	1.108024994
solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 [Homo sapiens]	Protein	SLC25A1	7	0	0.75969039
brain-specific angiogenesis inhibitor 2 [Homo sapiens]	Protein	BAI2	3	1	1.269437357
clathrin interactor 1 [Homo sapiens]	Protein	CLINT1	9	2	1.077837675
serologically defined colon cancer antigen 8 [Homo sapiens]	Protein	SDCCAG8	2	0	0.709777182
PIN2-interacting protein 1 [Homo sapiens]	Protein	PINX1	103	1	0.511315189
adaptor-related protein complex 2, beta 1 subunit [Rattus norvegicus]	Protein	Ap2b1 [Rattus norvegicus]	2	1	0
WW domain containing E3 ubiquitin protein ligase 1 [Homo sapiens]	Protein	WWP1	11	1	1.192968244
myosin IXB [Homo sapiens]	Protein	MYO9B	5	1	0.744094017
hypothetical protein LOC80304 [Homo sapiens]	Protein	FLJ21945	6	1	1.060139918
major histocompatibility complex, class I, G precursor [Homo sapiens]	Protein	HLA-G	3	0	0.871747793
microtubule associated serine/threonine kinase 2 [Homo sapiens]	Protein	MAST2	6	3	1.24487378
MLCK protein [Homo sapiens]	Protein	MLCK	3	1	2.828926812
shugoshin-like 2 [Homo sapiens]	Protein	SGOL2	10	0	0.281564224
interferon, gamma [Homo sapiens]	Protein	IFNG	8	2	0.737772761
U6 snRNA-associated Sm-like protein 5 [Homo sapiens]	Protein	LSM5	15	0	1.045333122
B-cell CLL/lymphoma 7A isoform b [Homo sapiens]	Protein	BCL7A	2	2	1.064533842
CTF18, chromosome transmission fidelity factor 18 homolog [Homo sapiens]	Protein	CHTF18	5	0	0.460258044
phosphatase and actin regulator 3 isoform 2 [Homo sapiens]	Protein	PHACTR3	4	1	0.502673711
VAMP-associated protein B/C [Homo sapiens]	Protein	VAPB	6	1	1.196702031
cytochrome P450, family 4, subfamily F, polypeptide 8 [Homo sapiens]	Protein	CYP4F8	40	1	1.493578885
CCR4-NOT transcription complex, subunit 6-like [Homo sapiens]	Protein	CNOT6L	2	2	0.708928096
TRAF2 and NCK interacting kinase [Homo sapiens]	Protein	TNIK	81	0	1.223444555
zinc finger protein 295 [Homo sapiens]	Protein	ZNF295	2	1	0.610753269
NudC domain containing 2 [Homo sapiens]	Protein	NUDCD2	3	1	0.677644148
glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Homo sapiens]	Protein	GAPDHS	6	3	0.99720845
selectin P ligand [Homo sapiens]	Protein	SELPLG	8	0	0.900221352
secretory leukocyte peptidase inhibitor precursor [Homo sapiens]	Protein	SLPI	6	0	0.78041063
protein tyrosine phosphatase type IVA, member 2 isoform 1 [Homo sapiens]	Protein	PTP4A2	8	1	1.070583272
hypothetical protein LOC9675 [Homo sapiens]	Protein	KIAA0406	2	0	1.083153886
serine/threonine kinase 24 (STE20 homolog, yeast) isoform b [Homo sapiens]	Protein	STK24	24	0	0.957810669
tumor protein D52 isoform 2 [Homo sapiens]	Protein	TPD52	8	0	0.698692699
mitochondrial ribosomal protein S17 [Homo sapiens]	Protein	MRPS17	2	1	0.368950157
transcription factor ELYS [Homo sapiens]	Protein	AHCTF1	2	1	1.051246508
BCL2-like 2 protein [Homo sapiens]	Protein	BCL2L2	15	2	1.141883598
testis intracellular mediator protein [Homo sapiens]	Protein	KLHDC3	2	2	1.065334551
MAP/microtubule affinity-regulating kinase 2 isoform c [Homo sapiens]	Protein	MARK2	5	1	0.735965095
jumonji domain containing 2A [Homo sapiens]	Protein	JMJD2A	10	1	0.952571104
D-2-hydroxyglutarate dehydrogenase [Homo sapiens]	Protein	D2HGDH	3	0	0
SRY (sex determining region Y)-box 10 [Homo sapiens]	Protein	SOX10	6	0	0.86340955
sulfide dehydrogenase like [Homo sapiens]	Protein	SQRDL	3	1	1.14979171
ets homologous factor [Homo sapiens]	Protein	EHF	2	2	0.557546724
echinoderm microtubule associated protein like 4 [Homo sapiens]	Protein	EML4	4	2	0.734546208
AT rich interactive domain 5B (MRF1-like) [Homo sapiens]	Protein	ARID5B	2	1	1.260699509
mitochondrial ribosomal protein L12 [Homo sapiens]	Protein	MRPL12	6	2	1.034390125
jouberin [Homo sapiens]	Protein	AHI1	2	2	1.08400187
calmodulin binding transcription activator 2 [Homo sapiens]	Protein	CAMTA2	2	1	1.185176996
F-box and leucine-rich repeat protein 7 [Homo sapiens]	Protein	FBXL7	2	3	1.37080721
MHC class I chain-related gene A protein [Homo sapiens]	Protein	MICA	2	1	0.877379335
inhibitor of Bruton's tyrosine kinase [Homo sapiens]	Protein	IBTK	4	1	1.176134092
CUB domain-containing protein 1 isoform 1 [Homo sapiens]	Protein	CDCP1	2	1	0.810424836
platelet factor 4 (chemokine (C-X-C motif) ligand 4) [Homo sapiens]	Protein	PF4	11	3	0.698532078
platelet factor 4 variant 1 [Homo sapiens]	Protein	PF4V1	2	1	0.773131425
karyopherin alpha 5 (importin alpha 6) [Homo sapiens]	Protein	KPNA5	2	0	1.056205022
Janus kinase 2 [Homo sapiens]	Protein	JAK2	72	2	1.05474317
glycogen synthase kinase 3 alpha [Homo sapiens]	Protein	GSK3A	3	1	1.043432911
FYVE, RhoGEF and PH domain containing 2 [Homo sapiens]	Protein	FGD2	2	1	0.958793206
methyl CpG binding protein 2 [Homo sapiens]	Protein	MECP2	10	1	1.059880577
tescalcin [Homo sapiens]	Protein	TESC	10	0	0.646931223
mitogen-activated protein kinase kinase 1 [Homo sapiens]	Protein	MAP2K1	31	1	1.107358518
albumin precursor [Homo sapiens]	Protein	ALB	158	0	0.667878386
calumenin precursor [Homo sapiens]	Protein	CALU	3	1	1.246938756
iron-sulfur cluster assembly enzyme isoform ISCU1 [Homo sapiens]	Protein	NIFUN	2	1	1.07638267
Ig heavy chain V-III region GAL.	Protein		3	0	0
Ig kappa chain V-III region SIE.	Protein		1	0	0
scribble isoform b [Homo sapiens]	Protein	SCRIB	2	0	1.046448624
hypothetical protein LOC79568 [Homo sapiens]	Protein	FLJ22555	3	1	1.100388926
